name,barcode,ingredients
Toddy - 26 oz,7892840819170,"AÇÚCAR, CACAU, CARBONATO DE CÁLCIO, MALTODEXTRINA, EXTRATO DE MALTE DE CEVADA, SAL, VITAMINAS [MALTODEXTRINA, NITRATO DE TIAMINA (VITAMINA B1) E CLORIDRATO DE PIRIDOXINA (VITAMINA B6)], AROMATIZANTES E EMULSIFICANTE LECITINA."
Farofa De Mandioca Tradicional - YOKI - 400g,7891095911486,"Farinha de mandioca, óleo vegetal, pasta de alho, sal, colorifico (fubá enriquecido com ferro e ácido fólico e corante natural urucum), cebola, pimenta calabresa, pimenta preta, cebolinha, aromatizantes e realçador de sabor (glutamato monossódico)."
TABASCO Molho de Pimenta Jalapeño - 60ml,0011210009530,"Vinagre destilado, Pimenta Jalapeño, Água, Sal, Amido de milho, Goma xantana, Ácido ascórbico, Sem gorduras trans, Sem colesterol, Sem açúcar, Sem sabores artificiais, Sem corantes, Sem conservantes."
Pão de Fôrma Integral - Wickbold - 550g - 550 g,7896066301778,"Farinha de trigo integral, farinha de trigo enriquecida com ferro e acido folico,gluten, fibra de trigo, açúcar, óleo de soja, sal sal hipossódico e conservadores propionato de calcio e sorbato de potássio ALERGICOS: CONTÉM DERIVADOS DE SOJA É DERIVADOS DE TRIGO. PODE CONTER AMENDOA,AMENDOIM,AVEIA, AVELAS CASTANHA-DE-CAJU, CASTANHA-DO-PARA CENTEIO,CEVADA,ÉSPELTA, FARRO, FREEKEH LEITE MACADAMIAS,NOZES,OVOS, PECĀS, PISTACHES E TRITICALE.CONTÉM GLUTEN."
Tapioca Hidratada da Terrinha 500g - 500 g,7898994081623,Product ingredients not found!
"Suco de Uva - Aurora - 1,5 l",7891141019838,"Suco de uva tinto integral, INS 202, INS 220"
Leite Integral Piracanjuba - 1 L,7898215151708,"Leite integral e estabilizantes citrato de sódio, trifosfato de sódio, monofosfato monossódico e difosfato dissódico. ALÉRGICOS:CONTÉM LEITE.CONTÉM LACTOSE. NÃO CONTÉM GLÚTEN."
Leite Ninho Integral - 1litro,7898215157403,"Leite integral, minerais [cálcio (fosfato tricálcico), ferro (pirofosfato férrico) e zinco (sulfato de zinco)], vitaminas [vitamina C (ácido ascórbico), vitamina E (acetato de DL-alfa-tocoferila), vitamina A (acetato de retinila) e vitamina D (colecalciferol)] e estabilizantes citrato de sódio, trifosfato de sódio, monofosfato de sódio e difosfato de sódio."
Gomiti 53 - Divella - 500 g - 17.6 oz,8005121000535,"Italiano:Semola di grano duro, acqua 12.5%."
Sopa Juliana - Trevijano - 100 g,8410770022058,"Espanhol / castelhano:Zanahoria, patata, chirivía, puerro, cebolla, col,apio, perejil"
Natural Spring Water - Poland Spring - 700ml,0075720431151,Inglês:Spring water
4056489733577,4056489733577,Product ingredients not found!
Nescafe Classic Coffee,7891000071823,Product ingredients not found!
Leite UHT Integral - Italac - 1 L,7898080640611,"Leite integral e estabilizantes citrato de sódio, trifosfato de sódio, monofosfato monossódico e difosfato dissódico."
Refrigerante Coca Cola Original Garrafa 2l,7894900027013,"ÁGUA GASEIFICADA, AÇÚCAR, EXTRATO DE NOZ DE COLA, CAFEÍNA, CORANTE CARAMELO IN ACIDULANTE ÁCIDO FOSFÓRICO, AROMA NATURAL E EDULCORANTE SUCRALOSE (4,4 mg)."
Feurig scharfe Jalapeño in Scheiben - Kühne - 330 g,40122915,"Alemão:Jalapeno, Branntweinessig, Salz"
Creme de Leite Piracanjuba - 200 g,7898215151784,"Creme de leite padronizado a 17% de gordura, leite em pó desnatado, espessantes carragena, carboximetilcelulose sódica e alginato de sódio estabilizantes celulose microcristalina e citrato de sódio"
Renata,07117815,Product ingredients not found!
Postre cremoso de coco - Sococo,7896004401386,"Polpa de coco, açúcar, glucose sal, Conservadores INS 202 e INS 223, Não contém glúten"
Nescau - Nestlé - 370 g,7891000352175,"Açúcar, cacau em pó, maltodextrina, minerais [cálcio (carbonato de cálcio) e ferro (fumarato ferroso)], soro de leite em pó, vitaminas [vitamina C (ácido L-ascórbico), niacina (nicotinamida), vitamina B2 (riboflavina), vitamina A (acetato de retinila), vitamina B6 (cloridrato de piridoxina), vitamina D (colecalciferol) e vitamina B12 (cianocobalamina)], emulsificante lecitina de soja e aromatizante"
Pacoquita - Moreninha,7897047003834,Product ingredients not found!
Chocolate - Kinder - 50 g,80177609,"Chocolate deLEITEextrafino 40% (açúcar,LEITEinteiro em pó, manteiga de cacau, pasta de cacau, emulsionantes: lecitinas (SOJA); vanilina), açúcar,LEITEdesnatado em pó, gordura de palma,MANTEIGAconcentrada, emulsionantes: lecitinas (SOJA), vanilina."
Guaraná - Antarctica - 33 cl,5601045300022,"Francês:Eau gazéifiée, sucre, acidifiant: acide citrique, extraits de guarana, conservateurs (E211, E202), colorant : caramel (E150d), arômes naturels,antioxydant: acide ascorbique."
LEITE PO NINHO INTEGRAL NESTLE - 380 g,7891000325858,"Leite integral, minerais [cálcio (carbonato de cálcio), ferro (pirofosfato férrico) e zinco (sulfato de zinco)] e vitaminas [vitamina C (L-ascorbato de sódio), vitamina E (acetato de DL-alfa tocoferila), vitamina A (acetato de retinila) e vitamina D (colecalciferol)]."
Farofa - Yoki - 500 g,7891095300488,"Espanhol / castelhano:Harina de yuca/mandioca, aceites vegetales, ajo, sal, colorante (harina de maíz enriquecido com hierro y ácido fólico, aceite vegetal de soja y colorante natural achiote), cebolla, pimiento rojo, pimienta negra, cebolla verde, aromatizante e glutamato monosódico (potenciador de sabor). Contiene derivados desoya. Puede contenerglúten(trigo)."
Nutella Ferrero - 140 g,7898024395232,"Açúcar, Óleo Vegetal (Palma),Avelãs(13%), Leite Desnatado em Pó (8,7%), Cacau Em Pó Parcialmente Desengordurado (7,4%), Emulsificante (Lecitinas), Aromatizante. Componentes do Leite 8.7%."
Ninho Forti+ - Nestlé - 380 g,7891000284933,"Leite em pó integral, fibra (polidextrose), permeado de soro de leite, minerais [cálcio, ferro e zinco], vitaminas [vitamina C, vitamina E, vitamina A e vitamina D] e emulsificante lecitina de soja. ALERGICOS: CONTÉM LEITE E DERIVADOS E COMPOSTO LÁCTEO NÃO É LEITE EM PÓ."
coca cola sem açúcar - CocaCola - 2litros,7894900701517,"INGR: AGUA GASEIFICADA, EXTRATO DE NOZ DE COLA, CAFEINA, AROMA NATURAL, CORANTE CARAMELO IV, ACIDULANTE ÁCIDO FOSFORICO, EDULCORANTES CICLAMATO DE SODIO (27 mg) ACESULFAME DE POTASSIO (15 mg) EASPARTAME (12 mg) POR 100 ml, CONSERVADOR BENZOATO DE SODIO E ESTABILIZANTE CITRATO DE SÓDIO. CONSERVAR AO ABRIGO DO SOL E CALOR, EM LOCAL LIMPO E SECO, AREJADO E SEM ODOR. NÃO CONGELAR. NAO CONTEM GLUTEN CONTÉM FENILALANINA BAIXO TEOR DE SODIO SEM AÇUCARES"
Danone Natural Desnatado - 160g,7891025120223,Product ingredients not found!
Requeijão Vigor 200G,7891999144485,"Q MAGEM ILUSTRATIVA INGREDIENTES: CREME DE LEITE, LEITE DESNATADO, CLORETO DE SODIO (SAL), FERMENTO LACTEO, ESTABILIZANTES POLIFOSFATO DE SODIO, PIROFOSFATO TETRASSODICO, PIROFOSFATO ACIDO DE SODIO, CONSERVADORES ACIDO SORBICO E NISINA. NAO CONTEM GLUTEN.CONTEM LACTOSE. ALERGICOS:CONTEM LEITE E DERIVADOS. INFORMAÇÃO NUTRICIONAL: PORCAO 30g; (1 COLHER DE SOPA) VALOR ENERGETICO"
fermento Royal - 100g,7622300119621,Product ingredients not found!
Leite Condensado Integral moça - Nestlé - 395 g,7891000100103,"LEITE INTEGRAL, AÇÚCAR ELACTOSE."
Toddynho - Pepsico - 200ml,7894321722016,"leite integral reconstituído, açúcar, soro de leite em pó, cacau, gordura vegetal hidrogenada,extrato de malte, vitaminas (C, A, ácido fólico), sal, espessantes (goma guar, carragena), estabilizantes (mono, diglicerídeos de ácidos graxos, citrato de sódio,lecitina de soja), aromatizante"
